,# features,vectorization time [s],train accuracy [%],test accuracy [%],training time [s],vectorization,tokenizer,stop_words,ngram range,max features,z-score,columns,sparse,model,activation,C,widths,# epochs,learning rate,batch size
0,100,0.8,52.9484,52.784,0.06,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LogisticRegression,,,,1,0.01,100
1,100,0.8,52.3331,52.1604,0.05,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LogisticRegression,,,,1,0.01,35918
2,100,0.8,81.6833,82.3163,0.67,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LogisticRegression,,,,10,0.01,100
3,100,0.8,52.3331,52.1604,0.63,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LogisticRegression,,,,10,0.01,35918
4,100,0.8,86.3021,86.9154,7.03,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LogisticRegression,,,,100,0.01,100
5,100,0.8,52.3331,52.1604,6.49,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LogisticRegression,,,,100,0.01,35918
6,100,0.8,52.3331,52.1604,0.11,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,1.0,,1,0.01,100
7,100,0.8,52.3331,52.1604,0.1,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,10.0,,1,0.01,100
8,100,0.8,74.3777,74.6325,0.1,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,50.0,,1,0.01,100
9,100,0.8,52.3331,52.1604,0.13,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,1.0,,1,0.01,35918
10,100,0.8,52.3331,52.1604,0.16,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,10.0,,1,0.01,35918
11,100,0.8,52.3331,52.1604,0.11,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,50.0,,1,0.01,35918
12,100,0.8,52.3331,52.1604,0.95,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,1.0,,10,0.01,100
13,100,0.8,52.3331,52.1604,1.09,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,10.0,,10,0.01,100
14,100,0.8,65.037,65.2227,0.97,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,50.0,,10,0.01,100
15,100,0.8,52.3331,52.1604,1.08,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,1.0,,10,0.01,35918
16,100,0.8,52.3331,52.1604,1.05,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,10.0,,10,0.01,35918
17,100,0.8,52.3331,52.1604,1.03,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,50.0,,10,0.01,35918
18,100,0.8,52.3331,52.1604,8.33,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,1.0,,100,0.01,100
19,100,0.8,52.3331,52.1604,10.18,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,10.0,,100,0.01,100
20,100,0.8,79.7622,80.1002,10.63,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,50.0,,100,0.01,100
21,100,0.8,52.3331,52.1604,11.71,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,1.0,,100,0.01,35918
22,100,0.8,52.3331,52.1604,9.16,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,10.0,,100,0.01,35918
23,100,0.8,60.1732,60.2339,9.89,tf-idf,None,,"(1, 1)",100.0,False,['title'],False,LinearSVM,,50.0,,100,0.01,35918
24,1000,1.21,52.3331,52.1604,1.26,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LogisticRegression,,,,1,0.01,100
25,1000,1.21,52.3331,52.1604,0.79,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LogisticRegression,,,,1,0.01,35918
26,1000,1.21,72.3815,73.0401,9.98,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LogisticRegression,,,,10,0.01,100
27,1000,1.21,52.3331,52.1604,6.7,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LogisticRegression,,,,10,0.01,35918
28,1000,1.21,90.6955,90.8686,93.0,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LogisticRegression,,,,100,0.01,100
29,1000,1.21,52.3331,52.1604,86.9,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LogisticRegression,,,,100,0.01,35918
30,1000,1.21,52.3331,52.1604,1.08,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,1.0,,1,0.01,100
31,1000,1.21,52.3331,52.1604,1.2,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,10.0,,1,0.01,100
32,1000,1.21,52.3331,52.1604,1.2,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,50.0,,1,0.01,100
33,1000,1.21,52.3331,52.1604,1.26,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,1.0,,1,0.01,35918
34,1000,1.21,52.3331,52.1604,1.31,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,10.0,,1,0.01,35918
35,1000,1.21,52.3331,52.1604,1.2,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,50.0,,1,0.01,35918
36,1000,1.21,52.3331,52.1604,10.23,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,1.0,,10,0.01,100
37,1000,1.21,52.3331,52.1604,10.28,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,10.0,,10,0.01,100
38,1000,1.21,52.3331,52.1604,10.06,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,50.0,,10,0.01,100
39,1000,1.21,52.3331,52.1604,12.24,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,1.0,,10,0.01,35918
40,1000,1.21,52.3331,52.1604,11.71,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,10.0,,10,0.01,35918
41,1000,1.21,52.3331,52.1604,12.15,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,50.0,,10,0.01,35918
42,1000,1.21,52.3331,52.1604,102.38,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,1.0,,100,0.01,100
43,1000,1.21,52.3331,52.1604,104.9,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,10.0,,100,0.01,100
44,1000,1.21,52.3331,52.1604,106.77,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,50.0,,100,0.01,100
45,1000,1.21,52.3331,52.1604,120.06,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,1.0,,100,0.01,35918
46,1000,1.21,52.3331,52.1604,121.32,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,10.0,,100,0.01,35918
47,1000,1.21,52.3331,52.1604,121.28,tf-idf,None,,"(1, 1)",1000.0,False,['title'],False,LinearSVM,,50.0,,100,0.01,35918
48,100,1.2,86.9063,87.461,0.07,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LogisticRegression,,,,1,0.01,100
49,100,1.2,86.291,86.9042,0.11,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LogisticRegression,,,,1,0.01,35918
50,100,1.2,88.1842,88.6414,0.73,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LogisticRegression,,,,10,0.01,100
51,100,1.2,86.3077,86.9154,0.71,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LogisticRegression,,,,10,0.01,35918
52,100,1.2,88.6798,89.2984,8.89,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LogisticRegression,,,,100,0.01,100
53,100,1.2,86.4887,87.0045,6.96,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LogisticRegression,,,,100,0.01,35918
54,100,1.2,86.4079,87.049,0.12,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,1.0,,1,0.01,100
55,100,1.2,87.0705,87.5278,0.15,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,10.0,,1,0.01,100
56,100,1.2,84.5175,84.6882,0.11,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,50.0,,1,0.01,100
57,100,1.2,86.291,86.9042,0.1,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,1.0,,1,0.01,35918
58,100,1.2,86.291,86.9042,0.25,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,10.0,,1,0.01,35918
59,100,1.2,86.291,86.9042,0.14,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,50.0,,1,0.01,35918
60,100,1.2,86.4107,87.049,0.93,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,1.0,,10,0.01,100
61,100,1.2,86.742,87.3163,1.05,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,10.0,,10,0.01,100
62,100,1.2,84.5537,85.0891,0.98,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,50.0,,10,0.01,100
63,100,1.2,86.3049,86.9042,0.95,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,1.0,,10,0.01,35918
64,100,1.2,86.3996,86.8486,1.01,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,10.0,,10,0.01,35918
65,100,1.2,88.1285,88.7416,0.87,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,50.0,,10,0.01,35918
66,100,1.2,86.355,86.9822,10.36,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,1.0,,100,0.01,100
67,100,1.2,86.6752,87.4053,9.79,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,10.0,,100,0.01,100
68,100,1.2,83.2006,83.2405,9.42,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,50.0,,100,0.01,100
69,100,1.2,86.4803,87.0379,10.56,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,1.0,,100,0.01,35918
70,100,1.2,87.5355,88.3408,8.91,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,10.0,,100,0.01,35918
71,100,1.2,88.3345,88.8307,7.8,tf-idf,None,,"(1, 1)",100.0,True,['title'],False,LinearSVM,,50.0,,100,0.01,35918
72,1000,1.93,93.1706,92.6503,1.01,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LogisticRegression,,,,1,0.01,100
73,1000,1.93,92.0513,91.6704,0.64,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LogisticRegression,,,,1,0.01,35918
74,1000,1.93,94.6239,94.0757,8.76,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LogisticRegression,,,,10,0.01,100
75,1000,1.93,92.0875,91.7706,8.86,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LogisticRegression,,,,10,0.01,35918
76,1000,1.93,95.3282,94.5991,93.73,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LogisticRegression,,,,100,0.01,100
77,1000,1.93,92.4272,92.049,89.57,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LogisticRegression,,,,100,0.01,35918
78,1000,1.93,92.2546,91.6481,1.08,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,1.0,,1,0.01,100
79,1000,1.93,88.2176,87.8062,1.14,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,10.0,,1,0.01,100
80,1000,1.93,86.8784,86.8931,1.07,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,50.0,,1,0.01,100
81,1000,1.93,92.0513,91.6704,1.19,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,1.0,,1,0.01,35918
82,1000,1.93,92.0513,91.6704,1.34,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,10.0,,1,0.01,35918
83,1000,1.93,92.0513,91.6704,1.07,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,50.0,,1,0.01,35918
84,1000,1.93,92.2462,91.7483,10.83,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,1.0,,10,0.01,100
85,1000,1.93,88.5127,88.2739,8.83,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,10.0,,10,0.01,100
86,1000,1.93,86.9369,86.2584,8.92,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,50.0,,10,0.01,100
87,1000,1.93,92.0541,91.7149,11.88,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,1.0,,10,0.01,35918
88,1000,1.93,93.3153,92.9399,11.48,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,10.0,,10,0.01,35918
89,1000,1.93,94.8466,94.1537,10.63,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,50.0,,10,0.01,35918
90,1000,1.93,92.2936,92.0267,102.67,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,1.0,,100,0.01,100
91,1000,1.93,87.3434,86.6927,91.4,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,10.0,,100,0.01,100
92,1000,1.93,86.6836,86.7038,88.77,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,50.0,,100,0.01,100
93,1000,1.93,92.6444,92.2829,115.79,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,1.0,,100,0.01,35918
94,1000,1.93,94.6935,94.2762,100.9,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,10.0,,100,0.01,35918
95,1000,1.93,95.2503,94.4989,94.26,tf-idf,None,,"(1, 1)",1000.0,True,['title'],False,LinearSVM,,50.0,,100,0.01,35918
96,100,0.97,52.7451,52.5056,0.23,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,1,0.01,100
97,100,0.97,52.3331,52.1604,0.0,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,1,0.01,35918
98,100,0.97,81.7028,82.3274,2.14,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,10,0.01,100
99,100,0.97,52.3331,52.1604,0.07,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,10,0.01,35918
100,100,0.97,86.3077,86.9154,21.78,tf-idf,None,,"(1, 1)",100.0,False,['title'],True,LogisticRegression,,,,100,0.01,100
