,# features,vectorization time [s],train accuracy [%],test accuracy [%],training time [s],vectorization,tokenizer,stop_words,ngram range,max features,z-score,columns,sparse,model,activation,C,widths,# epochs,learning rate,batch size
0,19572,0.58,96.325,94.4766,1.61,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,5e-06,35918
1,19572,0.58,96.325,94.4766,1.51,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,5e-06,35918
2,19572,0.58,96.325,94.4766,1.5,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,5e-06,35918
3,19572,0.58,96.325,94.4766,1.5,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,5e-06,35918
4,19572,0.58,96.325,94.4766,1.51,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,1e-05,35918
5,19572,0.58,96.325,94.4766,1.53,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,1e-05,35918
6,19572,0.58,96.325,94.4766,1.57,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,1e-05,35918
7,19572,0.58,96.325,94.51,1.53,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,1e-05,35918
8,19572,0.58,96.325,94.4878,1.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,5e-05,35918
9,19572,0.58,96.325,94.4878,1.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,5e-05,35918
10,19572,0.58,96.325,94.4878,1.47,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,5e-05,35918
11,19572,0.58,98.5105,95.9465,0.94,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,5e-05,35918
12,19572,0.58,96.325,94.4878,1.47,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.0001,35918
13,19572,0.58,96.325,94.4878,1.48,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.0001,35918
14,19572,0.58,96.325,94.51,1.48,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.0001,35918
15,19572,0.58,99.4738,95.657,0.72,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.0001,35918
16,19572,0.58,96.325,94.5212,1.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.0005,35918
17,19572,0.58,96.325,94.5212,1.47,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.0005,35918
18,19572,0.58,98.4381,95.9465,0.96,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.0005,35918
19,19572,0.58,99.9415,94.0757,0.5,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.0005,35918
20,19572,0.58,96.3277,94.5212,1.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.001,35918
21,19572,0.58,96.325,94.5212,1.45,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.001,35918
22,19572,0.58,99.3708,95.6236,0.75,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.001,35918
23,19572,0.58,99.8608,93.6192,0.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.001,35918
24,19572,0.58,96.3417,94.5434,1.47,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.005,35918
25,19572,0.58,97.7393,95.5902,1.11,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.005,35918
26,19572,0.58,99.9582,94.0646,0.51,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.005,35918
27,19572,0.58,99.8497,93.6192,0.45,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.005,35918
28,19572,0.58,96.3751,94.5991,1.48,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.01,35918
29,19572,0.58,98.2906,95.735,0.91,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.01,35918
30,19572,0.58,99.7355,93.608,0.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.01,35918
31,19572,0.58,99.6631,93.8641,0.44,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.01,35918
32,19572,0.58,96.4419,94.6214,1.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.05,35918
33,19572,0.58,98.4715,95.7127,0.68,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.05,35918
34,19572,0.58,98.0929,92.6392,0.45,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.05,35918
35,19572,0.58,97.344,91.8263,0.44,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.05,35918
36,19572,0.58,96.2025,94.1871,1.5,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.1,35918
37,19572,0.58,98.53,95.6125,0.66,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.1,35918
38,19572,0.58,95.2698,90.8909,0.47,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.1,35918
39,19572,0.58,93.4963,89.6548,0.46,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.1,35918
40,19572,0.58,75.8728,69.6325,1.49,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.5,35918
41,19572,0.58,68.9209,69.2984,0.81,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.5,35918
42,19572,0.58,61.1226,62.1381,0.82,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.5,35918
43,19572,0.58,60.9917,61.8151,0.74,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.5,35918
44,19572,0.58,35.4613,29.7327,1.25,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,1.0,35918
45,19572,0.58,20.5162,22.5056,0.94,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,1.0,35918
46,19572,0.58,20.8419,22.8285,0.95,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,1.0,35918
47,19572,0.58,20.7667,22.6503,0.93,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,1.0,35918
