,# features,vectorization time [s],train accuracy [%],test accuracy [%],training time [s],vectorization,tokenizer,stop_words,ngram range,max features,z-score,columns,sparse,model,activation,C,widths,# epochs,learning rate,batch size
0,19572,0.58,96.3166,94.51,24.36,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,5e-06,100
1,19572,0.58,96.4447,94.5991,24.75,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,5e-06,100
2,19572,0.58,99.8023,95.2339,25.91,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,5e-06,100
3,19572,0.58,99.9944,94.0535,15.04,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,5e-06,100
4,19572,0.58,96.3277,94.5434,26.4,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,1e-05,100
5,19572,0.58,97.2465,95.1893,26.59,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,1e-05,100
6,19572,0.58,99.9555,94.2205,24.13,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,1e-05,100
7,19572,0.58,99.9777,93.7082,14.85,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,1e-05,100
8,19572,0.58,96.3834,94.7105,26.26,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,5e-05,100
9,19572,0.58,98.4492,95.7238,25.98,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,5e-05,100
10,19572,0.58,99.8385,93.931,22.17,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,5e-05,100
11,19572,0.58,99.7077,93.5523,17.63,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,5e-05,100
12,19572,0.58,96.4892,94.755,26.27,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.0001,100
13,19572,0.58,98.4882,95.7016,25.92,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.0001,100
14,19572,0.58,99.6241,93.608,23.3,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,10.0,,100,0.0001,100
15,19572,0.58,99.2594,93.029,20.4,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,100.0,,100,0.0001,100
16,19572,0.58,94.958,92.2383,26.29,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,0.1,,100,0.0005,100
17,19572,0.58,98.4186,95.49,26.08,tf-idf,None,,"(1, 1)",,True,['title'],True,LinearSVM,,1.0,,100,0.0005,100
